path,ext,version,size,date,sha1
sweep_paths.py,py,d0edc9f,1012,2025-08-08T13:12:15.387634,9564d8394aa4360adeec6a2d3e58d7bb40f84ecd
validate_metadata.py,py,979f22f,1786,2025-08-08T13:12:15.387634,d2f648924160593c1ccec0743438906d4127b0f1
paths_cache.json,json,00041c3,395,2025-08-08T13:12:15.387634,0a2d9be95e94940439bf08820b8d6f418bca60d3
conftest.py,py,c5f581c,195,2025-08-08T13:12:15.387634,b24c845125abecd2cd8bd68e02021402d9845d02
ops_readme_v_3_1.md,md,c7c375b,5701,2025-08-08T13:12:15.387634,8bab6a83e8a5740a18a9e69ed8080d15d0aeadc3
update_crossrefs.py,py,58396ef,4562,2025-08-08T13:12:15.387634,390b18b2dedcb9a257d6f81857cb6324d3dc548b
run_codex_baseline_v4_check.py,py,0db4103,222,2025-08-08T13:12:15.387634,e63bb518d036f71102e10ac473f7e444a2b8894f
pipelines/ops_pipelines_readme_v_3_1.md,md,7db177e,3278,2025-08-08T13:12:15.387634,9324263a6d369dd6ccad5b2ce2d606dacd85632e
test/test_placeholder.py,py,07ed3a9,40,2025-08-08T13:12:15.387634,8c7df53d3f1b6a986e6ae66480e74b21be26c144
test/ops_test_readme_v_3_1.md,md,7db177e,3226,2025-08-08T13:12:15.387634,dedc4bd0080281ecfc59ddb36adff451ea9eaec9
test/test_diagnose_baseline.py,py,07ed3a9,765,2025-08-08T13:12:15.387634,15465c06d4070a575c1da1898e23dd9a35ef6833
templates/template_readme_rw_b_v_3_1.md,md,7db177e,2502,2025-08-08T13:12:15.387634,0ec72daa9f3b3083555f5079d5fc0eaa840fc62a
scripts/report_kpis.py,py,bab2765,205,2025-08-08T13:12:15.387634,820523e350038c45eaa7755f65edf925bb243e90
scripts/__init__.py,py,bab2765,43,2025-08-08T13:12:15.387634,e7b7dc102608a6751fa7dcb77564892351d08851
scripts/ops_scripts_readme_v_3_1.md,md,8bfc7fc,4247,2025-08-08T13:12:15.387634,2c569efb156a1c72c67dea45ce4f9943e1e5e47d
scripts/litw_sweep.py,py,c5f581c,5547,2025-08-08T13:14:33.169632,0bca66672848513ba583774184578d4b11e7be32
scripts/diagnose_baseline.py,py,07ed3a9,2122,2025-08-08T13:12:15.387634,70bdf6aa109f2a0f4fc7871090b02625aa1a5d7d
scripts/audit_naming.py,py,bab2765,215,2025-08-08T13:12:15.387634,1592568ad45ca6a3e30d52d409258a87a2b5c3e4
scripts/run_codex_baseline_v4_check.py,py,bab2765,222,2025-08-08T13:12:15.387634,e63bb518d036f71102e10ac473f7e444a2b8894f
log/ops_log_readme_v_3_1.md,md,8bfc7fc,3783,2025-08-08T13:12:15.387634,2f010ce648e5629cbcc93550683874f0c01ef2c8
log/diagnosis_baseline.md,md,1e93ee3,14335,2025-08-08T13:12:15.387634,2e4b4ab8de03b4beca9653cb4175dec88c021114
test/platform_v_4_0/test_main.py,py,bab2765,224,2025-08-08T13:12:15.387634,c023cb21357ba6e75dd8dcac5bfd91107f857b41
